date,libelle
2023-01-01,Jour de l'An
2023-04-10,Lundi de Pâques
2023-05-01,Fête du Travail
2023-05-08,Victoire 1945
2023-05-18,Ascension
2023-05-29,Lundi de Pentecôte
2023-07-14,Fête Nationale
2023-08-15,Assomption
2023-11-01,Toussaint
2023-11-11,Armistice
2023-12-25,Noël
2024-01-01,Jour de l'An
2024-04-01,Lundi de Pâques
2024-05-01,Fête du Travail
2024-05-08,Victoire 1945
2024-05-09,Ascension
2024-05-20,Lundi de Pentecôte
2024-07-14,Fête Nationale
2024-08-15,Assomption
2024-11-01,Toussaint
2024-11-11,Armistice
2024-12-25,Noël
